# Parity of the ceremony capability set across the four surfaces (ADR-014).
# One row per capability; a cell names the RPC / tool / method that serves it, or `-`.
# `reason` is mandatory on a row with `-` in proto, mcp_grpc, mcp_embedded or facade. `api` is the versioned subset (ADR-004).
# Target: zero rows with a reason. The parity test fails when this file and the code disagree in either direction.
# The test is crates/made-mcp/src/protocol/parity_tests.rs; facade methods that are variants of a row are mapped there, never ignored.
capability	proto	mcp_grpc	mcp_embedded	facade	api	reason
run_ceremony	RunCeremony	made_run_ceremony	made_run_ceremony	run	-	
get_ceremony_instance	GetCeremonyInstance	made_get_ceremony_instance	made_get_ceremony_instance	instance	ceremony	
list_ceremony_agents	ListCeremonyAgents	made_list_ceremony_agents	made_list_ceremony_agents	list_agents	-
get_ceremony_agent	GetCeremonyAgent	made_get_ceremony_agent	made_get_ceremony_agent	get_agent	-
report_ceremony_agent_status	ReportCeremonyAgentStatus	made_report_ceremony_agent_status	made_report_ceremony_agent_status	report_agent_status	-
list_ceremony_instances	ListCeremonyInstances	made_list_ceremony_instances	made_list_ceremony_instances	instances	ceremonies	
search_ceremony_instances	SearchCeremonyInstances	made_search_ceremony_instances	made_search_ceremony_instances	search_instances	-	
start_ceremony	StartCeremony	made_start_ceremony	made_start_ceremony	start	start_ceremony	
start_published_ceremony	StartPublishedCeremony	made_start_published_ceremony	made_start_published_ceremony	start_published	-	
run_ceremony_step	RunCeremonyStep	made_run_ceremony_step	made_run_ceremony_step	run_step	-	
prepare_ceremony_children	PrepareCeremonyChildren	made_prepare_ceremony_children	made_prepare_ceremony_children	prepare_children	-
accept_child_completion	AcceptChildCompletion	made_accept_child_completion	made_accept_child_completion	accept_child_completion	-
recover_ceremony_children	RecoverCeremonyChildren	made_recover_ceremony_children	made_recover_ceremony_children	recover_children	-
apply_ceremony_transition	ApplyCeremonyTransition	made_apply_ceremony_transition	made_apply_ceremony_transition	apply_transition	-	
pause_ceremony	PauseCeremony	made_pause_ceremony	made_pause_ceremony	pause_ceremony	-	
resume_ceremony	ResumeCeremony	made_resume_ceremony	made_resume_ceremony	resume_ceremony	-	
cancel_ceremony	CancelCeremony	made_cancel_ceremony	made_cancel_ceremony	cancel_ceremony	-	
enforce_ceremony_deadlines	EnforceCeremonyDeadlines	made_enforce_ceremony_deadlines	made_enforce_ceremony_deadlines	enforce_ceremony_deadlines	-	
approve_ceremony_guard	ApproveCeremonyGuard	made_approve_ceremony_guard	made_approve_ceremony_guard	approve_guard	-	
defer_ceremony_guard	DeferCeremonyGuard	made_defer_ceremony_guard	made_defer_ceremony_guard	defer_guard	-	
request_ceremony_intervention	RequestCeremonyIntervention	made_request_ceremony_intervention	made_request_ceremony_intervention	request_intervention	raise_intervention	
respond_to_ceremony_intervention	RespondToCeremonyIntervention	made_respond_to_ceremony_intervention	made_respond_to_ceremony_intervention	respond_to_intervention	respond_to_intervention	
close_ceremony_intervention	CloseCeremonyIntervention	made_close_ceremony_intervention	made_close_ceremony_intervention	close_intervention	-	
pull_ceremony_agent_interventions	PullCeremonyAgentInterventions	made_pull_ceremony_agent_interventions	made_pull_ceremony_agent_interventions	pull_agent_interventions	-	
acknowledge_ceremony_agent_intervention	AcknowledgeCeremonyAgentIntervention	made_acknowledge_ceremony_agent_intervention	made_acknowledge_ceremony_agent_intervention	acknowledge_agent_intervention	-	
get_ceremony_intervention	GetCeremonyIntervention	made_get_ceremony_intervention	made_get_ceremony_intervention	get_intervention	-	
list_ceremony_interventions	ListCeremonyInterventions	made_list_ceremony_interventions	made_list_ceremony_interventions	list_interventions	-	
collect_ceremony_evidence	CollectCeremonyEvidence	made_collect_ceremony_evidence	made_collect_ceremony_evidence	collect_evidence	-	
assert_ceremony_reason	AssertCeremonyReason	made_assert_ceremony_reason	made_assert_ceremony_reason	assert_reason	-	
validate_ceremony_draft	ValidateCeremonyDraft	made_validate_ceremony_draft	made_validate_ceremony_draft	-	analyze_definition	decided in F1: no facade method; analysing a draft is a pure domain call (CeremonyDraft::analyze) the adapter makes directly, and made-api exposes it as analyze_definition
explain_ceremony_draft	ExplainCeremonyDraft	made_explain_ceremony_draft	made_explain_ceremony_draft	-	analyze_definition	decided in F1: same as validate_ceremony_draft; the two tools render one analysis for two audiences
publish_ceremony_definition	PublishCeremonyDefinition	made_publish_ceremony_definition	made_publish_ceremony_definition	publish_definition	publish_definition	
diff_ceremony_definitions	DiffCeremonyDefinitions	made_diff_ceremony_definitions	made_diff_ceremony_definitions	diff_definitions	-	
bind_ceremony_participants	BindCeremonyParticipants	made_bind_ceremony_participants	made_bind_ceremony_participants	bind_participants	-	
claim_ceremony_step	ClaimCeremonyStep	made_claim_ceremony_step	made_claim_ceremony_step	start_step	-	
renew_ceremony_step_lease	RenewCeremonyStepLease	made_renew_ceremony_step_lease	made_renew_ceremony_step_lease	renew_step_lease	-
complete_ceremony_step	CompleteCeremonyStep	made_complete_ceremony_step	made_complete_ceremony_step	complete_step	-	
get_execution_receipt	GetExecutionReceipt	made_get_execution_receipt	made_get_execution_receipt	get_execution_receipt	-	
inspect_execution_recovery	InspectExecutionRecovery	made_inspect_execution_recovery	made_inspect_execution_recovery	inspect_execution_recovery	-	
complete_execution_receipt	CompleteExecutionReceipt	made_complete_execution_receipt	made_complete_execution_receipt	complete_execution_receipt	-	
adopt_execution_receipt	AdoptExecutionReceipt	made_adopt_execution_receipt	made_adopt_execution_receipt	adopt_execution_receipt	-	
design_ceremony	DesignCeremony	made_design_ceremony	made_design_ceremony	design	-	
generate_ceremony_report	GenerateCeremonyReport	made_generate_ceremony_report	made_generate_ceremony_report	report	-	
begin_artifact_upload	BeginArtifactUpload	made_begin_artifact_upload	made_begin_artifact_upload	begin_artifact_upload	-
put_artifact_chunk	PutArtifactChunk	made_put_artifact_chunk	made_put_artifact_chunk	put_artifact_chunk	-
commit_artifact_upload	CommitArtifactUpload	made_commit_artifact_upload	made_commit_artifact_upload	commit_artifact_upload	-
abort_artifact_upload	AbortArtifactUpload	made_abort_artifact_upload	made_abort_artifact_upload	abort_artifact_upload	-
get_artifact	GetArtifact	made_get_artifact	made_get_artifact	get_artifact	-
list_artifacts	ListArtifacts	made_list_artifacts	made_list_artifacts	list_artifacts	-
read_artifact_chunk	ReadArtifactChunk	made_read_artifact_chunk	made_read_artifact_chunk	read_artifact_chunk	-
tombstone_artifact	TombstoneArtifact	made_tombstone_artifact	made_tombstone_artifact	tombstone_artifact	-
read_ceremony_events	ReadCeremonyEvents	made_read_ceremony_events	made_read_ceremony_events	audit_records	-	
stream_ceremony	StreamCeremony	made_stream_ceremony	made_stream_ceremony	stream_ceremony	-
pull_ceremony_events	PullCeremonyEvents	made_pull_ceremony_events	made_pull_ceremony_events	pull_events	-
verify_ceremony_journal	VerifyCeremonyJournal	made_verify_ceremony_journal	made_verify_ceremony_journal	verify_journal	-
get_ceremony_transcript	GetCeremonyTranscript	made_get_ceremony_transcript	made_get_ceremony_transcript	transcript	-	
list_ceremony_definitions	-	-	-	definitions	-	decided in F1: host affordance, not a capability; the catalog a host mounts and publishes into is local to its process, and publish_ceremony_definition is how a definition crosses surfaces
mount_definition	-	-	-	mount_definition	-	host-process affordance: in-memory definitions exist only inside the host
get_status	GetStatus	made_get_status	made_get_status	status	-	
get_metrics	GetMetrics	made_get_metrics	made_get_metrics	metrics	-	
deliberate	Deliberate	made_deliberate	made_deliberate	deliberate	-
stream_deliberation	StreamDeliberation	made_stream_deliberation	made_stream_deliberation	stream_deliberation	-
get_deliberation_result	GetDeliberationResult	made_get_deliberation_result	made_get_deliberation_result	get_deliberation_result	-
orchestrate	Orchestrate	made_orchestrate	made_orchestrate	orchestrate	-
process_trigger_event	ProcessTriggerEvent	made_process_trigger_event	made_process_trigger_event	process_trigger_event	-
run_council_decision	RunCouncilDecision	made_run_council_decision	made_run_council_decision	run_council_decision	-
create_council	CreateCouncil	made_create_council	made_create_council	create_council	-
list_councils	ListCouncils	made_list_councils	made_list_councils	list_councils	-
delete_council	DeleteCouncil	made_delete_council	made_delete_council	delete_council	-
register_agent	RegisterAgent	made_register_agent	made_register_agent	register_agent	-
unregister_agent	UnregisterAgent	made_unregister_agent	made_unregister_agent	unregister_agent	-
register_contract	RegisterContract	made_register_contract	made_register_contract	register_contract	-
list_contracts	ListContracts	made_list_contracts	made_list_contracts	list_contracts	-
delete_contract	DeleteContract	made_delete_contract	made_delete_contract	delete_contract	-
read_council_events	ReadCouncilEvents	made_read_council_events	made_read_council_events	read_council_events	-
get_council_event_cursor	GetCouncilEventCursor	made_get_council_event_cursor	made_get_council_event_cursor	get_council_event_cursor	-
lease_council_events	LeaseCouncilEvents	made_lease_council_events	made_lease_council_events	lease_council_events	-
acknowledge_council_events	AcknowledgeCouncilEvents	made_acknowledge_council_events	made_acknowledge_council_events	acknowledge_council_events	-
release_council_events	ReleaseCouncilEvents	made_release_council_events	made_release_council_events	release_council_events	-
get_budget_report	GetBudgetReport	made_get_budget_report	made_get_budget_report	budget_report	budget_report
list_pending_budget_reservations	ListPendingBudgetReservations	made_list_pending_budget_reservations	made_list_pending_budget_reservations	pending_budget_reservations	pending_budget_reservations
get_authorization_policy	GetAuthorizationPolicy	made_get_authorization_policy	made_get_authorization_policy	authorization_policy	-
issue_authorization_grant	IssueAuthorizationGrant	made_issue_authorization_grant	made_issue_authorization_grant	issue_authorization_grant	-
