provider_slots,width,repeat,elapsed_ms,peak_calls,completed
1,1,0,169.250,1,8
1,1,1,169.026,1,8
1,1,2,170.238,1,8
1,1,3,168.842,1,8
1,1,4,169.020,1,8
1,2,0,168.694,2,8
1,2,1,169.001,2,8
1,2,2,167.247,2,8
1,2,3,168.723,2,8
1,2,4,169.264,2,8
1,4,0,168.356,4,8
1,4,1,168.129,4,8
1,4,2,169.411,4,8
1,4,3,168.071,4,8
1,4,4,169.455,4,8
1,8,0,168.672,8,8
1,8,1,168.405,8,8
1,8,2,169.529,8,8
1,8,3,169.619,8,8
1,8,4,167.733,8,8
4,1,0,169.661,1,8
4,1,1,169.917,1,8
4,1,2,169.637,1,8
4,1,3,168.757,1,8
4,1,4,169.982,1,8
4,2,0,84.771,2,8
4,2,1,89.054,2,8
4,2,2,84.919,2,8
4,2,3,84.826,2,8
4,2,4,84.732,2,8
4,4,0,42.496,4,8
4,4,1,42.531,4,8
4,4,2,42.415,4,8
4,4,3,42.408,4,8
4,4,4,42.691,4,8
4,8,0,42.391,8,8
4,8,1,42.591,8,8
4,8,2,42.350,8,8
4,8,3,42.525,8,8
4,8,4,42.585,8,8
